FullDate,Season,PlayDay,DateKey
1960-09-04,1960,1,0
1960-09-11,1960,2,1
1960-09-18,1960,3,2
1960-09-25,1960,4,3
1960-10-09,1960,5,4
1960-10-16,1960,6,5
1960-10-23,1960,7,6
1960-11-06,1960,8,7
1960-11-13,1960,9,8
1960-11-27,1960,10,9
1960-12-04,1960,11,10
1961-03-12,1960,11,11
1961-03-19,1960,11,12
1961-03-29,1960,11,13
1961-04-02,1960,11,14
1960-12-11,1960,12,15
1960-12-18,1960,13,16
1960-12-24,1960,14,17
1960-12-25,1960,14,18
1961-03-01,1960,14,19
1961-03-12,1960,14,20
1961-03-18,1960,14,21
1961-05-11,1960,15,22
1961-01-08,1960,16,23
1961-03-19,1960,16,24
1961-04-01,1960,16,25
1961-01-15,1960,17,26
1961-04-01,1960,17,27
1961-01-22,1960,18,28
1961-01-29,1960,19,29
1961-02-05,1960,20,30
1961-02-12,1960,21,31
1961-02-19,1960,22,32
1961-02-26,1960,23,33
1961-03-05,1960,24,34
1961-03-26,1960,25,35
1961-04-09,1960,26,36
1961-04-16,1960,27,37
1961-04-23,1960,28,38
1961-04-30,1960,29,39
1961-05-07,1960,30,40
1961-09-02,1961,1,41
1961-09-03,1961,1,42
1961-09-10,1961,2,43
1961-09-17,1961,3,44
1961-09-24,1961,4,45
1961-10-01,1961,5,46
1961-10-08,1961,6,47
1961-10-15,1961,7,48
1961-10-22,1961,8,49
1961-10-29,1961,9,50
1961-11-04,1961,10,51
1961-11-05,1961,10,52
1961-11-19,1961,11,53
1961-11-26,1961,12,54
1961-12-03,1961,13,55
1961-12-10,1961,14,56
1961-12-17,1961,15,57
1961-12-31,1961,16,58
1962-03-04,1961,16,59
1962-03-11,1961,16,60
1962-01-07,1961,17,61
1962-03-04,1961,17,62
1962-03-11,1961,17,63
1962-01-14,1961,18,64
1962-01-21,1961,19,65
1962-01-28,1961,20,66
1962-02-04,1961,21,67
1962-03-04,1961,21,68
1962-02-11,1961,22,69
1962-03-11,1961,22,70
1962-02-18,1961,23,71
1962-02-24,1961,24,72
1962-02-25,1961,24,73
1962-03-18,1961,25,74
1962-03-25,1961,26,75
1962-04-08,1961,27,76
1962-04-22,1961,27,77
1962-04-15,1961,28,78
1962-04-29,1961,29,79
1962-05-06,1961,30,80
1962-09-01,1962,1,81
1962-09-02,1962,1,82
1962-09-08,1962,2,83
1962-09-09,1962,2,84
1962-09-16,1962,3,85
1962-09-22,1962,4,86
1962-09-23,1962,4,87
1962-09-30,1962,5,88
1962-10-07,1962,6,89
1962-10-20,1962,7,90
1962-10-21,1962,7,91
1962-10-28,1962,8,92
1962-11-11,1962,9,93
1962-11-18,1962,10,94
1962-11-25,1962,11,95
1962-12-09,1962,12,96
1962-12-16,1962,13,97
1962-12-23,1962,14,98
1963-03-10,1962,15,99
1963-03-17,1962,16,100
1963-03-24,1962,17,101
1963-04-21,1962,18,102
1963-04-27,1962,19,103
1963-04-28,1962,19,104
1963-05-01,1962,20,105
1963-05-04,1962,21,106
1963-05-05,1962,21,107
1963-05-11,1962,22,108
1963-05-12,1962,22,109
1963-05-18,1962,23,110
1963-05-19,1962,23,111
1963-04-06,1962,24,112
1963-04-07,1962,24,113
1963-04-11,1962,25,114
1963-04-13,1962,25,115
1963-04-14,1962,25,116
1963-03-30,1962,26,117
1963-04-10,1962,26,118
1963-04-15,1962,26,119
1963-05-22,1962,27,120
1963-05-23,1962,27,121
1963-05-26,1962,28,122
1963-06-02,1962,29,123
1963-06-08,1962,30,124
1963-06-09,1962,30,125
1963-09-07,1963,1,126
1963-09-08,1963,1,127
1963-09-15,1963,2,128
1963-09-21,1963,3,129
1963-09-22,1963,3,130
1963-09-29,1963,4,131
1963-10-06,1963,5,132
1963-10-13,1963,6,133
1963-10-27,1963,7,134
1963-11-03,1963,8,135
1963-11-10,1963,9,136
1963-11-17,1963,10,137
1963-11-24,1963,11,138
1963-12-08,1963,12,139
1963-12-15,1963,13,140
1963-12-21,1963,14,141
1963-12-22,1963,14,142
1963-12-29,1963,15,143
1964-01-05,1963,16,144
1964-01-12,1963,17,145
1964-01-18,1963,18,146
1964-01-19,1963,18,147
1964-01-26,1963,19,148
1964-02-02,1963,20,149
1964-02-09,1963,21,150
1964-02-16,1963,22,151
1964-02-23,1963,23,152
1964-03-01,1963,24,153
1964-03-08,1963,25,154
1964-03-15,1963,26,155
1964-04-04,1963,27,156
1964-04-05,1963,27,157
1964-04-12,1963,28,158
1964-04-19,1963,29,159
1964-04-26,1963,30,160
1964-09-04,1964,1,161
1964-09-05,1964,1,162
1964-09-06,1964,1,163
1964-09-13,1964,2,164
1964-09-19,1964,3,165
1964-09-20,1964,3,166
1964-09-27,1964,4,167
1964-10-10,1964,5,168
1964-10-11,1964,5,169
1965-01-03,1964,5,170
1964-10-17,1964,6,171
1964-10-18,1964,6,172
1964-10-24,1964,7,173
1964-10-25,1964,7,174
1964-11-08,1964,8,175
1964-11-15,1964,9,176
1964-11-22,1964,10,177
1964-11-29,1964,11,178
1964-12-06,1964,12,179
