MatchKey,GoalTimeRelative,IsHomeTeamGoal,GoalKey
4008203,14,0,0
4008203,79,0,1
4008204,18,1,2
4008204,26,1,3
4008204,63,1,4
4008204,2,0,5
4008204,62,0,6
4008205,30,0,7
4008205,37,0,8
4008205,52,0,9
4008205,59,0,10
4008205,69,0,11
4008205,75,0,12
4008205,79,0,13
4008206,41,1,14
4008207,20,1,15
4008207,10,0,16
4008207,36,0,17
4008209,57,1,18
4008209,72,1,19
4008209,27,0,20
4008210,21,1,21
4008210,30,1,22
4008210,43,1,23
4008210,59,1,24
4008210,73,1,25
4008211,14,1,26
4008211,33,1,27
4008211,47,1,28
4008212,24,0,29
4008212,52,0,30
4008212,65,0,31
4008212,9,1,32
4008212,15,1,33
4008213,63,1,34
4008213,87,1,35
4008213,4,0,36
4008213,68,0,37
4008213,71,0,38
4008214,14,1,39
4008214,52,1,40
4008214,82,1,41
4008226,65,0,42
4008443,18,1,43
4008443,45,1,44
4008443,28,0,45
4008443,83,0,46
4008444,49,1,47
4008444,15,0,48
4008445,17,0,49
4008445,27,0,50
4008445,72,0,51
4008445,10,1,52
4008445,75,1,53
4008446,73,0,54
4008446,47,1,55
4008446,56,1,56
4008446,60,1,57
4008446,64,1,58
4008446,69,1,59
4008446,78,1,60
4008447,37,0,61
4008447,48,1,62
4008447,81,1,63
4008447,88,1,64
4008448,36,1,65
4008448,64,1,66
4008448,65,1,67
4008448,30,0,68
4008449,51,0,69
4008449,80,0,70
4008449,20,1,71
4008450,24,1,72
4008450,80,1,73
4008450,83,1,74
4008451,23,0,75
4008451,46,0,76
4008451,13,1,77
4008451,57,1,78
4008451,58,1,79
4008453,57,0,80
4008453,67,0,81
4008453,72,0,82
4008456,2,1,83
4008456,29,1,84
4008456,37,1,85
4008461,7,0,86
4008461,8,0,87
4008461,39,0,88
4008461,63,0,89
4008461,10,1,90
4008683,48,1,91
4008683,51,1,92
4008684,9,1,93
4008684,41,1,94
4008684,70,1,95
4008684,76,1,96
4008684,80,1,97
4008684,10,0,98
4008684,18,0,99
4008684,58,0,100
4008685,13,0,101
4008685,52,0,102
4008685,49,1,103
4008686,45,1,104
4008686,87,1,105
4008687,5,1,106
4008687,16,1,107
4008687,43,1,108
4008687,47,1,109
4008687,70,1,110
4008687,59,0,111
4008687,85,0,112
4008688,40,0,113
4008688,56,0,114
4008688,84,0,115
4008688,3,1,116
4008689,24,0,117
4008689,87,0,118
4008690,10,1,119
4008690,24,1,120
4008690,46,1,121
4008690,55,1,122
4008690,86,1,123
4008691,55,1,124
4008692,77,1,125
4008692,55,0,126
4008692,81,0,127
4008693,25,1,128
4008693,44,0,129
4008694,18,1,130
4008694,40,1,131
4008694,86,1,132
4008694,88,1,133
4008694,17,0,134
4008694,68,0,135
4008695,44,0,136
4008695,66,1,137
4008695,82,1,138
4008695,86,1,139
4008696,37,1,140
4008696,85,1,141
4008697,62,0,142
4008697,1,1,143
4008697,28,1,144
4008697,32,1,145
4008698,38,1,146
4008698,51,1,147
4008698,63,1,148
4008699,48,1,149
4008700,67,0,150
4008700,12,1,151
4008701,2,0,152
4008701,68,0,153
4008702,3,1,154
4008702,25,1,155
4008702,44,1,156
4008702,70,1,157
4008702,10,0,158
4008702,35,0,159
4008703,5,1,160
4008703,33,1,161
4008703,35,1,162
4008703,50,1,163
4008703,52,1,164
4008703,70,1,165
4008703,87,1,166
4008703,78,0,167
4008723,21,1,168
4008723,32,1,169
4008723,34,1,170
4008723,62,1,171
4008724,38,1,172
4008724,62,1,173
4008724,63,1,174
4008724,89,0,175
4008739,25,0,176
4008739,78,0,177
4008739,20,1,178
4008739,44,1,179
4008739,68,1,180
4008739,72,1,181
4008744,2,1,182
4008744,34,1,183
4008744,68,1,184
4008744,70,1,185
4008744,71,1,186
4008744,30,0,187
4008744,35,0,188
4008744,77,0,189
4008923,8,1,190
4008923,68,1,191
4008923,84,0,192
4008924,19,1,193
4008924,23,1,194
4008925,21,1,195
4008925,25,1,196
4008925,5,0,197
4008926,15,1,198
4008926,37,1,199
4008927,47,1,200
4008928,26,0,201
4008928,70,0,202
4008928,23,1,203
4008928,29,1,204
4008929,9,1,205
4008929,13,0,206
4008930,62,1,207
4008930,87,0,208
4008931,9,0,209
4008931,88,0,210
4008931,5,1,211
4008931,42,1,212
4008931,65,1,213
4008933,77,1,214
4008934,28,0,215
4008934,52,0,216
4008934,62,0,217
4008935,80,0,218
4008935,61,1,219
4008936,21,0,220
4008936,40,0,221
4008936,58,0,222
4008936,25,1,223
4008936,61,1,224
4008936,70,1,225
4008938,60,1,226
4008938,76,1,227
4008939,48,1,228
4008939,61,1,229
4008940,10,0,230
4008940,43,0,231
4008940,62,0,232
4008941,6,0,233
4008941,66,1,234
4008942,3,1,235
4008948,3,0,236
4008948,42,0,237
