StamNumber,Ranking,Points,Wins,Ties,Losses,GoalDifference,StandingsDayKey,DateKey
35,1,3,1,0,0,7,0,0
553,2,3,1,0,0,5,1,0
16,3,3,1,0,0,2,2,0
90,4,3,1,0,0,1,3,0
2,5,3,1,0,0,1,4,0
4,5,3,1,0,0,1,5,0
10,5,3,1,0,0,1,6,0
13,8,3,1,0,0,1,7,0
1,9,0,0,0,1,-1,8,0
3,10,0,0,0,1,-1,9,0
7,10,0,0,0,1,-1,10,0
3434,10,0,0,0,1,-1,11,0
33,13,0,0,0,1,-1,12,0
373,14,0,0,0,1,-2,13,0
30,15,0,0,0,1,-5,14,0
246,16,0,0,0,1,-7,15,0
553,1,6,2,0,0,7,16,1
16,2,6,2,0,0,5,17,1
10,3,6,2,0,0,4,18,1
2,4,6,2,0,0,2,19,1
4,4,6,2,0,0,2,20,1
35,6,3,1,0,1,6,21,1
7,7,3,1,0,1,2,22,1
90,8,3,1,0,1,-2,23,1
13,9,3,1,0,1,-2,24,1
30,10,3,1,0,1,-4,25,1
3,11,1,0,1,1,-1,26,1
3434,11,1,0,1,1,-1,27,1
1,13,0,0,0,2,-2,28,1
33,14,0,0,0,2,-3,29,1
373,15,0,0,0,2,-5,30,1
246,16,0,0,0,2,-8,31,1
2,1,9,3,0,0,4,32,2
4,2,9,3,0,0,3,33,2
16,3,7,2,1,0,5,34,2
553,4,6,2,0,1,6,35,2
10,5,6,2,0,1,3,36,2
13,6,6,2,0,1,1,37,2
35,7,4,1,1,1,6,38,2
90,8,4,1,1,1,-2,39,2
7,9,3,1,0,2,0,40,2
1,10,3,1,0,2,-1,41,2
373,11,3,1,0,2,-3,42,2
30,12,3,1,0,2,-7,43,2
3,13,2,0,2,1,-1,44,2
33,14,1,0,1,2,-3,45,2
3434,14,1,0,1,2,-3,46,2
246,16,1,0,1,2,-8,47,2
2,1,12,4,0,0,5,48,3
4,2,12,4,0,0,4,49,3
16,3,10,3,1,0,8,50,3
35,4,7,2,1,1,8,51,3
90,5,7,2,1,1,2,52,3
553,6,6,2,0,2,4,53,3
7,7,6,2,0,2,3,54,3
10,8,6,2,0,2,2,55,3
13,9,6,2,0,2,-2,56,3
1,10,4,1,1,2,-1,57,3
246,11,4,1,1,2,-5,58,3
373,12,3,1,0,3,-6,59,3
30,13,3,1,0,3,-8,60,3
3,14,3,0,3,1,-1,61,3
3434,15,1,0,1,3,-6,62,3
33,16,1,0,1,3,-7,63,3
16,1,13,4,1,0,11,64,4
2,2,13,4,1,0,5,65,4
4,3,13,4,1,0,4,66,4
10,4,9,3,0,2,5,67,4
13,5,9,3,0,2,-1,68,4
35,6,8,2,2,1,8,69,4
553,7,7,2,1,2,4,70,4
7,8,7,2,1,2,3,71,4
90,9,7,2,1,2,-1,72,4
30,10,6,2,0,3,-6,73,4
246,11,5,1,2,2,-5,74,4
1,12,4,1,1,3,-2,75,4
373,13,4,1,1,3,-6,76,4
3,14,4,0,4,1,-1,77,4
3434,15,1,0,1,4,-8,78,4
33,16,1,0,1,4,-10,79,4
16,1,14,4,2,0,11,80,5
4,2,14,4,2,0,4,81,5
2,3,13,4,1,1,4,82,5
35,4,11,3,2,1,12,83,5
90,5,10,3,1,2,2,84,5
10,6,9,3,0,3,4,85,5
13,7,9,3,0,3,-2,86,5
553,8,8,2,2,2,4,87,5
7,9,8,2,2,2,3,88,5
246,10,8,2,2,2,-4,89,5
3,11,7,1,4,1,0,90,5
30,12,6,2,0,4,-10,91,5
1,13,5,1,2,3,-2,92,5
33,14,4,1,1,4,-9,93,5
373,15,4,1,1,4,-9,94,5
3434,16,2,0,2,4,-8,95,5
16,1,17,5,2,0,12,96,6
2,2,14,4,2,1,4,97,6
4,3,14,4,2,1,3,98,6
90,4,13,4,1,2,4,99,6
10,5,12,4,0,3,5,100,6
35,6,11,3,2,2,11,101,6
13,7,10,3,1,3,-2,102,6
30,8,9,3,0,4,-9,103,6
553,9,8,2,2,3,3,104,6
7,10,8,2,2,3,2,105,6
1,11,8,2,2,3,1,106,6
246,12,8,2,2,3,-5,107,6
373,13,7,2,1,4,-8,108,6
3,14,7,1,4,2,-2,109,6
3434,15,5,1,2,4,-7,110,6
33,16,4,1,1,5,-12,111,6
16,1,20,6,2,0,13,112,7
90,2,16,5,1,2,5,113,7
10,3,15,5,0,3,7,114,7
4,4,15,4,3,1,3,115,7
2,5,14,4,2,2,2,116,7
30,6,12,4,0,4,-7,117,7
35,7,12,3,3,2,11,118,7
553,8,11,3,2,3,5,119,7
246,9,11,3,2,3,-4,120,7
13,10,10,3,1,4,-3,121,7
7,11,8,2,2,4,1,122,7
1,12,8,2,2,4,-1,123,7
3,13,8,1,5,2,-2,124,7
373,14,7,2,1,5,-10,125,7
3434,15,5,1,2,5,-8,126,7
33,16,5,1,2,5,-12,127,7
16,1,23,7,2,0,14,128,8
90,2,19,6,1,2,7,129,8
4,3,18,5,3,1,4,130,8
10,4,15,5,0,4,5,131,8
35,5,15,4,3,2,13,132,8
2,6,14,4,2,3,0,133,8
13,7,13,4,1,4,-2,134,8
30,8,12,4,0,5,-8,135,8
246,9,12,3,3,3,-4,136,8
553,10,11,3,2,4,3,137,8
7,11,11,3,2,4,3,138,8
3,12,11,2,5,2,0,139,8
1,13,8,2,2,5,-3,140,8
373,14,8,2,2,5,-10,141,8
3434,15,5,1,2,6,-9,142,8
33,16,5,1,2,6,-13,143,8
16,1,23,7,2,1,13,144,9
4,2,21,6,3,1,6,145,9
90,3,19,6,1,3,0,146,9
35,4,18,5,3,2,14,147,9
2,5,17,5,2,3,2,148,9
13,6,16,5,1,4,5,149,9
10,7,15,5,0,5,4,150,9
30,8,15,5,0,5,-7,151,9
246,9,15,4,3,3,-1,152,9
553,10,14,4,2,4,4,153,9
7,11,14,4,2,4,4,154,9
3,12,11,2,5,3,-3,155,9
1,13,8,2,2,6,-4,156,9
373,14,8,2,2,6,-11,157,9
3434,15,5,1,2,7,-11,158,9
33,16,5,1,2,7,-15,159,9
16,1,24,7,3,1,13,160,14
4,2,24,7,3,1,7,161,14
90,3,22,7,1,3,2,162,14
35,4,21,6,3,2,15,163,14
553,5,17,5,2,4,9,164,14
2,6,17,5,2,4,1,165,14
13,7,16,5,1,5,4,166,14
10,8,16,5,1,5,4,167,14
30,9,15,5,0,6,-8,168,14
7,10,15,4,3,4,4,169,14
246,11,15,4,3,4,-6,170,14
3,12,14,3,5,3,-1,171,14
1,13,11,3,2,6,-3,172,14
373,14,8,2,2,7,-13,173,14
33,15,6,1,3,7,-15,174,14
3434,16,5,1,2,8,-13,175,14
4,1,25,7,4,1,7,176,15
35,2,24,7,3,2,16,177,15
16,3,24,7,3,2,12,178,15
90,4,23,7,2,3,2,179,15
553,5,20,6,2,4,10,180,15
13,6,19,6,1,5,6,181,15
7,7,18,5,3,4,5,182,15
2,8,17,5,2,5,0,183,15
10,9,16,5,1,6,2,184,15
30,10,15,5,0,7,-10,185,15
246,11,15,4,3,5,-7,186,15
1,12,14,4,2,6,-2,187,15
3,13,14,3,5,4,-2,188,15
373,14,11,3,2,7,-12,189,15
33,15,9,2,3,7,-13,190,15
3434,16,5,1,2,9,-14,191,15
4,1,26,7,5,1,7,192,16
35,2,25,7,4,2,16,193,16
16,3,24,7,3,3,10,194,16
553,4,23,7,2,4,14,195,16
90,5,23,7,2,4,0,196,16
13,6,20,6,2,5,6,197,16
2,7,20,6,2,5,2,198,16
7,8,19,5,4,4,5,199,16
30,9,18,6,0,7,-8,200,16
10,10,16,5,1,7,-2,201,16
246,11,16,4,4,5,-7,202,16
1,12,15,4,3,6,-2,203,16
3,13,15,3,6,4,-2,204,16
373,14,12,3,3,7,-12,205,16
33,15,10,2,4,7,-13,206,16
3434,16,6,1,3,9,-14,207,16
4,1,27,7,6,1,7,208,21
35,2,25,7,4,3,15,209,21
16,3,25,7,4,3,10,210,21
90,4,24,7,3,4,0,211,21
553,5,23,7,2,5,11,212,21
13,6,23,7,2,5,7,213,21
2,7,23,7,2,5,5,214,21
10,8,19,6,1,7,0,215,21
30,9,19,6,1,7,-8,216,21
7,10,19,5,4,5,3,217,21
246,11,17,4,5,5,-7,218,21
3,12,16,3,7,4,-2,219,21
1,13,15,4,3,7,-3,220,21
373,14,15,4,3,7,-11,221,21
33,15,10,2,4,8,-14,222,21
3434,16,9,2,3,9,-13,223,21
16,1,28,8,4,3,13,224,22
4,2,28,7,7,1,7,225,22
13,3,26,8,2,5,8,226,22
2,4,26,8,2,5,6,227,22
35,5,25,7,4,4,10,228,22
90,6,24,7,3,5,-1,229,22
553,7,23,7,2,6,10,230,22
10,8,22,7,1,7,4,231,22
7,9,22,6,4,5,8,232,22
30,10,19,6,1,8,-11,233,22
3,11,19,4,7,4,1,234,22
373,12,18,5,3,7,-9,235,22
246,13,18,4,6,5,-7,236,22
1,14,15,4,3,8,-6,237,22
33,15,10,2,4,9,-16,238,22
3434,16,9,2,3,10,-17,239,22
16,1,31,9,4,3,14,240,25
16,1,31,9,4,3,14,240,27
2,2,29,9,2,5,7,241,25
2,2,29,9,2,5,7,241,27
4,3,29,7,8,1,7,242,25
4,3,29,7,8,1,7,242,27
13,4,27,8,3,5,8,243,25
13,4,27,8,3,5,8,243,27
35,5,26,7,5,4,10,244,25
35,5,26,7,5,4,10,244,27
10,6,25,8,1,7,7,245,25
10,6,25,8,1,7,7,245,27
90,7,24,7,3,6,-5,246,25
90,7,24,7,3,6,-5,246,27
553,8,23,7,2,7,8,247,25
553,8,23,7,2,7,8,247,27
7,9,23,6,5,5,8,248,25
7,9,23,6,5,5,8,248,27
30,10,22,7,1,8,-9,249,25
30,10,22,7,1,8,-9,249,27
3,11,19,4,7,5,-2,250,25
3,11,19,4,7,5,-2,250,27
246,12,19,4,7,5,-7,251,25
246,12,19,4,7,5,-7,251,27
1,13,18,5,3,8,-2,252,25
1,13,18,5,3,8,-2,252,27
373,14,18,5,3,8,-10,253,25
373,14,18,5,3,8,-10,253,27
33,15,11,2,5,9,-16,254,25
33,15,11,2,5,9,-16,254,27
3434,16,9,2,3,11,-18,255,25
3434,16,9,2,3,11,-18,255,27
16,1,32,9,5,3,14,256,25
16,1,32,9,5,3,14,256,27
13,2,30,9,3,5,10,257,25
13,2,30,9,3,5,10,257,27
2,3,30,9,3,5,7,258,25
2,3,30,9,3,5,7,258,27
4,4,30,7,9,1,7,259,25
4,4,30,7,9,1,7,259,27
35,5,27,7,6,4,10,260,25
35,5,27,7,6,4,10,260,27
553,6,26,8,2,7,12,261,25
553,6,26,8,2,7,12,261,27
