TeamName,StamNumber,TeamKey
Sint-Truidense VV,373,0
Eendracht Aalst,90,1
Olympic Charleroi,246,2
Beerschot,13,3
Club Brugge,3,4
RFC Luik,4,5
Waterschei SV Thor,553,6
Standard Luik,16,7
RSC Anderlecht,35,8
Royal Antwerp FC,1,9
KAA Gent,7,10
Lierse SK,30,11
Cercle Brugge,12,12
Union Saint-Gilloise,10,13
KFC Diest,41,14
Beringen FC,522,15
Berchem Sport,28,16
Daring Club Brussel,2,17
KFC Turnhout,148,18
KV Mechelen,25,19
RFC Tilleur,21,20
RWD Molenbeek,47,21
KSV Waregem,4451,22
R Charleroi SC,22,23
KSK Beveren,2300,24
RCC Schaerbeek,55,25
AS Oostende KM,53,26
KSC Lokeren,282,27
KRC Genk,322,28
La Louviere,94,29
Racing Mechelen,24,30
KV Kortrijk,19,31
Boom FC,58,32
KSC Hasselt,37,33
KSK Tongeren,54,34
RFC Seraing,17,35
Racing Jet Brussel,4549,36
K. Sint-Niklase SK,221,37
Germinal,3530,38
KFC Lommelse SK,1986,39
KV Oostende,31,40
KRC Harelbeke,1615,41
Excelsior Mouscron,224,42
KVC Westerlo,2024,43
KFC Verbroedering Geel,395,44
RAEC Mons,44,45
Heusden-Zolder,2614,46
FC Brussels,1936,47
KSV Roeselare,134,48
SV Zulte Waregem,5381,49
FCV Dender EH,3900,50
AFC Tubize,5632,51
KAS Eupen,4276,52
Oud-Heverlee Leuven,18,53
Waasland-Beveren,4068,54
Moeskroen,216,55
RWDM,5479,56
Verviétois,33,57
